seed,I_ext,stability_margin,rho_A,T,target_scale,dir_seed,energy,rel_reachability_error
0,0.0,0.19303321454903044,0.9079948181553317,5,0.005,0,0.00013301284677246568,0.08192796629165343
0,0.0,0.19303321454903044,0.9079948181553317,5,0.005,1,0.00012673032655418853,0.002234338079664156
0,0.0,0.19303321454903044,0.9079948181553317,5,0.005,2,0.00013186307481447452,0.07957492528529601
0,0.0,0.19303321454903044,0.9079948181553317,5,0.01,0,0.0005138991392094771,0.037733341333539075
0,0.0,0.19303321454903044,0.9079948181553317,5,0.01,1,0.0005323761955305969,0.019989305113886514
0,0.0,0.19303321454903044,0.9079948181553317,5,0.01,2,0.0005039973490614814,0.03302008556231766
0,0.0,0.19303321454903044,0.9079948181553317,5,0.02,0,0.0021392593260601907,0.012796337234719797
0,0.0,0.19303321454903044,0.9079948181553317,5,0.02,1,0.0021413879828428573,0.022236041365526437
0,0.0,0.19303321454903044,0.9079948181553317,5,0.02,2,0.002033830007950155,0.03434232942120841
0,0.0,0.19303321454903044,0.9079948181553317,5,0.05,0,0.013223651784534395,0.00906561937466434
0,0.0,0.19303321454903044,0.9079948181553317,5,0.05,1,0.013400610680110964,0.0076358099320017435
0,0.0,0.19303321454903044,0.9079948181553317,5,0.05,2,0.013149771416955624,0.006660124203812587
0,0.0,0.19303321454903044,0.9079948181553317,5,0.1,0,0.05106949500099758,0.018263331647590562
0,0.0,0.19303321454903044,0.9079948181553317,5,0.1,1,0.052049388521699075,0.018672578825399785
0,0.0,0.19303321454903044,0.9079948181553317,5,0.1,2,0.05356148621163457,0.016350559161062088
0,0.0,0.19303321454903044,0.9079948181553317,20,0.005,0,7.930323889483028e-05,0.010576178737099687
0,0.0,0.19303321454903044,0.9079948181553317,20,0.005,1,8.545947562862382e-05,0.017016648368164737
0,0.0,0.19303321454903044,0.9079948181553317,20,0.005,2,8.036797510283108e-05,0.05597903980600153
0,0.0,0.19303321454903044,0.9079948181553317,20,0.01,0,0.00032200252818199266,0.00734337533951833
0,0.0,0.19303321454903044,0.9079948181553317,20,0.01,1,0.0003103668866352301,0.013260353125994797
0,0.0,0.19303321454903044,0.9079948181553317,20,0.01,2,0.00031640916910206907,0.01562718925286453
0,0.0,0.19303321454903044,0.9079948181553317,20,0.02,0,0.0012546749338884081,0.011359205987530251
0,0.0,0.19303321454903044,0.9079948181553317,20,0.02,1,0.001215864013393303,0.011779151825489489
0,0.0,0.19303321454903044,0.9079948181553317,20,0.02,2,0.001270837600216535,0.005499176281248768
0,0.0,0.19303321454903044,0.9079948181553317,20,0.05,0,0.00785870995962026,0.011729922642158391
0,0.0,0.19303321454903044,0.9079948181553317,20,0.05,1,0.007925381345166814,0.014237760875540914
0,0.0,0.19303321454903044,0.9079948181553317,20,0.05,2,0.008051352722101324,0.01682331752894955
0,0.0,0.19303321454903044,0.9079948181553317,20,0.1,0,0.03155290913133507,0.020079254242892832
0,0.0,0.19303321454903044,0.9079948181553317,20,0.1,1,0.03217478334663708,0.020948286530964734
0,0.0,0.19303321454903044,0.9079948181553317,20,0.1,2,0.032967864796936655,0.023368084467541607
0,0.0,0.19303321454903044,0.9079948181553317,50,0.005,0,7.96536678556692e-05,0.04914187563709299
0,0.0,0.19303321454903044,0.9079948181553317,50,0.005,1,7.688949384105739e-05,0.04290581914567714
0,0.0,0.19303321454903044,0.9079948181553317,50,0.005,2,8.422717983334204e-05,0.026882217155718
0,0.0,0.19303321454903044,0.9079948181553317,50,0.01,0,0.0003182499833496872,0.026462876024817623
