subject_id,w_EE,stability_margin,rho_A,T,target_scale,dir_seed,energy,rel_reachability_error
100610,3.0,0.05374417352454036,0.8980869877534154,5,0.005,0,0.06062953743714214,0.05357564667759988
100610,3.0,0.05374417352454036,0.8980869877534154,5,0.005,1,0.060478756007649126,0.05462763415125508
100610,3.0,0.05374417352454036,0.8980869877534154,5,0.005,2,0.06022513647616651,0.05625055611783306
100610,3.0,0.05374417352454036,0.8980869877534154,5,0.01,0,0.2390901218257518,0.01602201175733354
100610,3.0,0.05374417352454036,0.8980869877534154,5,0.01,1,0.2438086174312919,0.01702730978265756
100610,3.0,0.05374417352454036,0.8980869877534154,5,0.01,2,0.24304819951820916,0.017335803252146655
100610,3.0,0.05374417352454036,0.8980869877534154,5,0.02,0,0.9691967964791761,0.032503996012343356
100610,3.0,0.05374417352454036,0.8980869877534154,5,0.02,1,0.9740516633100611,0.03345945361492164
100610,3.0,0.05374417352454036,0.8980869877534154,5,0.02,2,0.9698775010623053,0.032479427520409804
100610,3.0,0.05374417352454036,0.8980869877534154,5,0.05,0,6.175287076719578,0.08621891760525187
100610,3.0,0.05374417352454036,0.8980869877534154,5,0.05,1,6.054135691399294,0.08353213069524641
100610,3.0,0.05374417352454036,0.8980869877534154,5,0.05,2,6.091761320637839,0.07510649428778221
100610,3.0,0.05374417352454036,0.8980869877534154,5,0.1,0,23.94561582105217,0.15931447069568397
100610,3.0,0.05374417352454036,0.8980869877534154,5,0.1,1,24.69516836224778,0.16256261953981818
100610,3.0,0.05374417352454036,0.8980869877534154,5,0.1,2,24.124470779828577,0.15789599588182018
100610,3.0,0.05374417352454036,0.8980869877534154,20,0.005,0,0.029405958798133597,0.003877257897887957
100610,3.0,0.05374417352454036,0.8980869877534154,20,0.005,1,0.029670944779908715,0.008072204852774639
100610,3.0,0.05374417352454036,0.8980869877534154,20,0.005,2,0.02990627305080627,0.026960750988169267
100610,3.0,0.05374417352454036,0.8980869877534154,20,0.01,0,0.12004274275825909,0.011993944873027938
100610,3.0,0.05374417352454036,0.8980869877534154,20,0.01,1,0.11660421466909114,0.009076269402463684
100610,3.0,0.05374417352454036,0.8980869877534154,20,0.01,2,0.11929049969048762,0.008426239829391013
100610,3.0,0.05374417352454036,0.8980869877534154,20,0.02,0,0.4783950838182261,0.024550398598707297
