check,T,max_abs_diff,max_rel_diff,t_doubling_s,t_brute_s,pass,energy_lti,energy_ltv,rel_energy_diff,max_U_diff,max_diff,linear_reachability_error_sanity
gramian_doubling_vs_brute_force,5,9.974659986866641e-18,3.8220652358701265e-15,0.8394985198974609,0.3183858394622803,True,,,,,,
gramian_doubling_vs_brute_force,50,2.211772431870429e-17,5.723555332004467e-15,1.066380262374878,2.8894379138946533,True,,,,,,
gramian_doubling_vs_brute_force,200,2.2985086056692694e-17,5.9478521429303006e-15,1.1536099910736084,11.504023313522339,True,,,,,,
ltv_reduces_to_lti,5,,,,,True,49.36954372038609,49.36954372038575,6.908318114028153e-15,1.220135104063047e-13,,
ltv_reduces_to_lti,50,,,,,True,3.669292301141365,3.6692923011413585,1.8154285897797984e-15,2.6367796834847468e-15,,
ltv_reduces_to_lti,200,,,,,True,3.368951958556382,3.3689519585563636,5.40454652599281e-15,2.9906632725840154e-15,,
deviation_coordinate_transform,5,,,,,True,,,,,5.551115123125783e-17,2.7141632296678795e-13
deviation_coordinate_transform,50,,,,,True,,,,,8.326672684688674e-17,3.890733782062668e-14
deviation_coordinate_transform,200,,,,,True,,,,,8.326672684688674e-17,4.3907355583451196e-14
