w_EE,seed,least_stable_eig,participation_ratio,participation_ratio_normalized,corr_least_stable_vec_with_hubness,eigenvalue_gap_1_to_2,n_eigenvalues_within_0.02_of_top,gramian_T,gramian_condition_number,gramian_min_eig,gramian_max_eig
3.0,10,-0.05651632183128967,362.8630017573515,0.8850317116032964,0.9883966218769787,0.0,820,50,84.98930357785277,2.4382703222058826e-05,0.002072268966188155
3.3402,10,-0.053349278367720805,359.6655141128506,0.877232961250855,0.987665398986012,0.0,820,50,88.30779067122614,2.9162069238414298e-05,0.0025752379058458044
3.6805,10,-0.04964960558834855,355.3272339613512,0.8666517901496371,0.9865839494512069,0.0,820,50,93.90023103232973,3.5859836067403274e-05,0.003367246891510559
4.0207,10,-0.04514078155396166,348.98826766992323,0.8511908967559103,0.9848355799486218,0.0,820,50,104.42648420832644,4.590959497665234e-05,0.004794177594839789
4.361,10,-0.03917850137424002,338.41992196131355,0.8254144438080818,0.9815313194486229,0.0,820,50,129.5111626572774,6.288446569612949e-05,0.008144240265387466
