kappa,boundary,rho,p,n_rows
0.02,0.34000000000000014,-0.04417654996534746,0.015528096229552596,3000
0.05,0.3550000000000001,0.028522948811683543,0.11830378678103323,3000
0.1,0.3900000000000001,0.10504746211733476,8.057502963490897e-09,3000
0.2,0.4650000000000001,0.13337281874545645,2.219263858646934e-13,3000
0.4,0.66,0.09280110138517338,3.5468380274168785e-07,3000
