coupling_seed,w_EE,stability_margin,rho_A,T,target_scale,dir_seed,energy,rel_reachability_error
0,3.0,0.062240608095331024,0.8829548464661111,5,0.005,0,0.07394338420064105,0.049019853591598106
0,3.0,0.062240608095331024,0.8829548464661111,5,0.005,1,0.07413346747950532,0.04372108398975202
0,3.0,0.062240608095331024,0.8829548464661111,5,0.005,2,0.07481865097581612,0.042436763153765725
0,3.0,0.062240608095331024,0.8829548464661111,5,0.01,0,0.2945413673893873,0.146078486230362
0,3.0,0.062240608095331024,0.8829548464661111,5,0.01,1,0.3068125978273109,0.12340036521198482
0,3.0,0.062240608095331024,0.8829548464661111,5,0.01,2,0.29965572386335787,0.1122645881709107
0,3.0,0.062240608095331024,0.8829548464661111,5,0.02,0,1.2064626867599588,0.30840816565818735
0,3.0,0.062240608095331024,0.8829548464661111,5,0.02,1,1.1657135555754794,0.18699173082642673
0,3.0,0.062240608095331024,0.8829548464661111,5,0.02,2,1.1944184377725697,0.180050432646714
0,3.0,0.062240608095331024,0.8829548464661111,5,0.05,0,7.464409236208901,0.37554576216608476
0,3.0,0.062240608095331024,0.8829548464661111,5,0.05,1,7.357276707130918,0.37383904474586493
0,3.0,0.062240608095331024,0.8829548464661111,5,0.05,2,7.354580116604639,0.41205750151223336
0,3.0,0.062240608095331024,0.8829548464661111,5,0.1,0,29.75930479339435,0.9624914781179208
0,3.0,0.062240608095331024,0.8829548464661111,5,0.1,1,29.617811558606128,0.6537718402054755
0,3.0,0.062240608095331024,0.8829548464661111,5,0.1,2,29.709576289243632,0.8660761479227
0,3.0,0.062240608095331024,0.8829548464661111,20,0.005,0,0.037333991638066166,0.02067267706099828
0,3.0,0.062240608095331024,0.8829548464661111,20,0.005,1,0.0371090999308788,0.02464147886211434
0,3.0,0.062240608095331024,0.8829548464661111,20,0.005,2,0.03763270763153545,0.027710922295647852
0,3.0,0.062240608095331024,0.8829548464661111,20,0.01,0,0.1490312324019731,0.06225690915518112
0,3.0,0.062240608095331024,0.8829548464661111,20,0.01,1,0.1504772454845088,0.040623529754322325
0,3.0,0.062240608095331024,0.8829548464661111,20,0.01,2,0.15245697122133955,0.05411278367255096
0,3.0,0.062240608095331024,0.8829548464661111,20,0.02,0,0.5926453450268523,0.08182939226455269
0,3.0,0.062240608095331024,0.8829548464661111,20,0.02,1,0.5764515720190193,0.07598844571862765
0,3.0,0.062240608095331024,0.8829548464661111,20,0.02,2,0.6005542014148956,0.08100423724839256
0,3.0,0.062240608095331024,0.8829548464661111,20,0.05,0,3.695873450779987,0.25558525147251515
0,3.0,0.062240608095331024,0.8829548464661111,20,0.05,1,3.666889849963108,0.1959883814622774
0,3.0,0.062240608095331024,0.8829548464661111,20,0.05,2,3.620856541483046,0.2199704044058193
0,3.0,0.062240608095331024,0.8829548464661111,20,0.1,0,15.242552420751753,0.6946011249472083
0,3.0,0.062240608095331024,0.8829548464661111,20,0.1,1,14.785333692218286,0.3964188197421497
0,3.0,0.062240608095331024,0.8829548464661111,20,0.1,2,14.556774456675504,0.37848972966581246
0,3.0,0.062240608095331024,0.8829548464661111,50,0.005,0,0.03453046690256049,0.026390630128308598
0,3.0,0.062240608095331024,0.8829548464661111,50,0.005,1,0.03476048950803446,0.021539120228442548
0,3.0,0.062240608095331024,0.8829548464661111,50,0.005,2,0.03533658923939537,0.023215725744700613
0,3.0,0.062240608095331024,0.8829548464661111,50,0.01,0,0.14079579880810927,0.054490512675599984
0,3.0,0.062240608095331024,0.8829548464661111,50,0.01,1,0.14033864890215955,0.05627771607771071
0,3.0,0.062240608095331024,0.8829548464661111,50,0.01,2,0.13824858044401606,0.06496659526271824
0,3.0,0.062240608095331024,0.8829548464661111,50,0.02,0,0.5649394132501877,0.07322875094555624
0,3.0,0.062240608095331024,0.8829548464661111,50,0.02,1,0.5639958850248759,0.0759412002661198
0,3.0,0.062240608095331024,0.8829548464661111,50,0.02,2,0.5735502835680506,0.0913333255480766
0,3.0,0.062240608095331024,0.8829548464661111,50,0.05,0,3.5405191142820893,0.2196285397573349
0,3.0,0.062240608095331024,0.8829548464661111,50,0.05,1,3.5600205770454036,0.2084436734272765
0,3.0,0.062240608095331024,0.8829548464661111,50,0.05,2,3.555997929872139,0.2540922397774768
0,3.0,0.062240608095331024,0.8829548464661111,50,0.1,0,13.75261662490716,0.38783736825195286
0,3.0,0.062240608095331024,0.8829548464661111,50,0.1,1,13.799355510687697,0.38275422604550424
0,3.0,0.062240608095331024,0.8829548464661111,50,0.1,2,14.006262033205621,0.3651707343708571
0,3.0,0.062240608095331024,0.8829548464661111,100,0.005,0,0.03588605926100847,0.022195280476399206
0,3.0,0.062240608095331024,0.8829548464661111,100,0.005,1,0.03525280253554084,0.030625921784594574
0,3.0,0.062240608095331024,0.8829548464661111,100,0.005,2,0.035554285935516336,0.022150019347141895
0,3.0,0.062240608095331024,0.8829548464661111,100,0.01,0,0.14211575172937166,0.040302564725434364
0,3.0,0.062240608095331024,0.8829548464661111,100,0.01,1,0.13926135484040533,0.03932503953184933
0,3.0,0.062240608095331024,0.8829548464661111,100,0.01,2,0.142549450105962,0.045892540587675924
0,3.0,0.062240608095331024,0.8829548464661111,100,0.02,0,0.5418965796106207,0.09241345821087815
0,3.0,0.062240608095331024,0.8829548464661111,100,0.02,1,0.5708407326251309,0.0866285395489862
0,3.0,0.062240608095331024,0.8829548464661111,100,0.02,2,0.5556297220013627,0.08580893983975725
0,3.0,0.062240608095331024,0.8829548464661111,100,0.05,0,3.5029941057426055,0.1865252200699203
0,3.0,0.062240608095331024,0.8829548464661111,100,0.05,1,3.5255107559070256,0.2456531144272592
0,3.0,0.062240608095331024,0.8829548464661111,100,0.05,2,3.4696655738819278,0.26471307866699517
0,3.0,0.062240608095331024,0.8829548464661111,100,0.1,0,14.259823126967241,0.3870990742040799
0,3.0,0.062240608095331024,0.8829548464661111,100,0.1,1,14.286682970455177,0.4243604207207311
0,3.0,0.062240608095331024,0.8829548464661111,100,0.1,2,14.142710085822971,0.35641974501334445
0,3.0,0.062240608095331024,0.8829548464661111,200,0.005,0,0.0349709047311036,0.049375349384726375
0,3.0,0.062240608095331024,0.8829548464661111,200,0.005,1,0.03526086905693174,0.03193122666582948
0,3.0,0.062240608095331024,0.8829548464661111,200,0.005,2,0.035936803684190666,0.04298067308238835
0,3.0,0.062240608095331024,0.8829548464661111,200,0.01,0,0.14158299685334477,0.04454204287338845
0,3.0,0.062240608095331024,0.8829548464661111,200,0.01,1,0.1421481148370899,0.04236104077072494
0,3.0,0.062240608095331024,0.8829548464661111,200,0.01,2,0.1388764770407769,0.05293338750942919
0,3.0,0.062240608095331024,0.8829548464661111,200,0.02,0,0.5665004782096625,0.08715138068078414
0,3.0,0.062240608095331024,0.8829548464661111,200,0.02,1,0.5574592588765885,0.09361835279794402
0,3.0,0.062240608095331024,0.8829548464661111,200,0.02,2,0.5541511760547922,0.07851357503964426
0,3.0,0.062240608095331024,0.8829548464661111,200,0.05,0,3.631328528658901,0.3679784008276772
