phase,v,w,max_real_eig_J,rho_A_discrete,locally_stable
0.0,-0.34896721630582733,-0.1937171075201155,0.7838675184903248,1.479839682457964,False
1.972697269726973,1.2667045793501732,-0.022918151024638955,-0.33427024567334956,0.8460852781699961,True
3.945394539453946,1.8296381510081616,0.3471692937179918,-0.09958737238671785,0.9514256965103882,True
5.918091809180918,1.686122216147637,0.6670882294137579,-0.11016695473546341,0.9464061411624209,True
7.890789078907892,1.5219105786249003,0.93290347658753,-0.131528601280407,0.9363515357420563,True
9.863486348634865,1.3422424873776968,1.136211119153716,-0.19612425561442917,0.9065925773953519,True
11.836183618361837,1.1123656826789319,1.2896768660488922,-0.15067870600088304,0.9274287072064679,True
13.80888088808881,0.749337847576983,1.3800502582180938,0.18724639509434712,1.0981458838873466,False
15.781578157815783,-0.5197941626611974,1.3604703412878114,0.6113584066618432,1.3575467402151342,False
17.754275427542755,-1.9702814790772152,1.0729669712910244,-0.09268073939772706,0.9547169501609029,True
19.72697269726973,-1.8756415419401642,0.7670256251038984,-0.09704437654434549,0.9526362017200071,True
21.6996699669967,-1.762703175408874,0.5069692056576172,-0.10393637924416815,0.9493590658332284,True
23.672367236723673,-1.654365434270182,0.29974289464627774,-0.11327159976114831,0.9449381532932959,True
25.645064506450648,-1.5444782252369498,0.1288220310100299,-0.12760259079012382,0.9381914039626873,True
27.61776177617762,-1.4376142250519488,-0.0021587838564664716,-0.1513996989011461,0.9270944327057754,True
29.590459045904595,-1.3268482441575002,-0.10421825561042478,-0.2090705903828493,0.9007430049490418,True
31.563156315631566,-1.2153500316249766,-0.17564673730713692,-0.27053784968541583,0.8734809793648972,True
33.53585358535854,-1.0926372215674431,-0.22268649520415498,-0.12892804897731092,0.9375698432098686,True
35.50855085508551,-0.9540763462080131,-0.2441167222612457,0.012869162803183821,1.0064553277947463,False
37.48124812481249,-0.7582541091656189,-0.23905552914075529,0.18052535296672684,1.0944617353099764,False
