subject_id,w_EE,stability_margin,rho_A,T,target_scale,dir_seed,energy,rel_reachability_error
sub-002S0413,3.0,0.05187315310073048,0.9014539616943844,5,0.005,0,0.05946111818927734,0.05114171175163507
sub-002S0413,3.0,0.05187315310073048,0.9014539616943844,5,0.005,1,0.06036043731192217,0.04207463181600912
sub-002S0413,3.0,0.05187315310073048,0.9014539616943844,5,0.005,2,0.06056165410385979,0.04083948639314165
sub-002S0413,3.0,0.05187315310073048,0.9014539616943844,5,0.01,0,0.24691760527441342,0.024727886642026114
sub-002S0413,3.0,0.05187315310073048,0.9014539616943844,5,0.01,1,0.24472425756032665,0.024744420335758813
sub-002S0413,3.0,0.05187315310073048,0.9014539616943844,5,0.01,2,0.24491897991559347,0.024306962791295593
sub-002S0413,3.0,0.05187315310073048,0.9014539616943844,5,0.02,0,0.9796253793507372,0.03257873864148585
sub-002S0413,3.0,0.05187315310073048,0.9014539616943844,5,0.02,1,0.9779821281995332,0.03145059821306732
sub-002S0413,3.0,0.05187315310073048,0.9014539616943844,5,0.02,2,0.975468806650718,0.055907502273337614
sub-002S0413,3.0,0.05187315310073048,0.9014539616943844,5,0.05,0,6.114759332159466,0.08427000704475102
sub-002S0413,3.0,0.05187315310073048,0.9014539616943844,5,0.05,1,6.032218559275386,0.07851985299558205
sub-002S0413,3.0,0.05187315310073048,0.9014539616943844,5,0.05,2,6.096818014555117,0.0841061622870816
sub-002S0413,3.0,0.05187315310073048,0.9014539616943844,5,0.1,0,24.16062857702736,0.18033479783520176
sub-002S0413,3.0,0.05187315310073048,0.9014539616943844,5,0.1,1,24.648377016683074,0.16259230136855754
sub-002S0413,3.0,0.05187315310073048,0.9014539616943844,5,0.1,2,24.931708398071926,0.15750751485560285
sub-002S0413,3.0,0.05187315310073048,0.9014539616943844,20,0.005,0,0.029403754013184732,0.033186903107353075
sub-002S0413,3.0,0.05187315310073048,0.9014539616943844,20,0.005,1,0.029213167141231344,0.011813476467328846
sub-002S0413,3.0,0.05187315310073048,0.9014539616943844,20,0.005,2,0.02936460974266364,0.01858478379087756
sub-002S0413,3.0,0.05187315310073048,0.9014539616943844,20,0.01,0,0.11944272273923318,0.10115330509186699
sub-002S0413,3.0,0.05187315310073048,0.9014539616943844,20,0.01,1,0.11749855193325252,0.027751781437762645
sub-002S0413,3.0,0.05187315310073048,0.9014539616943844,20,0.01,2,0.11643863104874622,0.054770065980472245
sub-002S0413,3.0,0.05187315310073048,0.9014539616943844,20,0.02,0,0.47251182476308645,0.01900608218978258
sub-002S0413,3.0,0.05187315310073048,0.9014539616943844,20,0.02,1,0.48052852304370397,0.014967779132469966
sub-002S0413,3.0,0.05187315310073048,0.9014539616943844,20,0.02,2,0.47255580459543417,0.017174445273863435
