cohort,N,pct_ratio_gt1,E_fc_median,E_ec_median,teleport_ratio_median,teleport_ratio_q25,teleport_ratio_q75
HCP-AUD,238,100.0,0.9048595434206497,0.2752357219522283,3.2228801037827037,2.707129245902983,3.9587023029784327
ADNI-Schaefer400,49,100.0,0.8567870781959843,0.0646310413879882,13.496408306077177,9.86627409112316,16.725376548496858
ADNI-TianS3,49,100.0,0.834405471357591,0.0728070266640696,12.39219099178032,8.722124600685186,15.433083648932277
UNAM-TLE,62,100.0,0.16241041334434592,0.00240643330872755,66.02844151832946,51.32956462082798,81.01419774497273
