cohort,N,spearman_rho_gramian_cond,p_gramian_cond,spearman_rho_raw_rho,p_raw_rho
HCP-AUD,238,0.5852252876151784,2.863189176377159e-23,-0.020239545423592884,0.7560831132928362
ADNI-Schaefer400,49,0.5951020408163266,6.489522868548227e-06,-0.06428571428571428,0.6607792532655424
ADNI-TianS3,49,0.5810204081632653,1.2022052851771492e-05,0.021122448979591837,0.8854561231240873
UNAM-TLE,62,0.6881468610712397,6.407784611317659e-10,0.17055727632142229,0.18504734928760433
