subject_id,N,strength_cv,phi_real_top5pct,phi_null_mean_top5pct,phi_norm_top5pct,phi_real_top10pct,phi_null_mean_top10pct,phi_norm_top10pct,phi_real_top15pct,phi_null_mean_top15pct,phi_norm_top15pct,phi_real_top20pct,phi_null_mean_top20pct,phi_norm_top20pct,phi_real_top25pct,phi_null_mean_top25pct,phi_norm_top25pct,phi_real_top30pct,phi_null_mean_top30pct,phi_norm_top30pct,status
sub-002S0413,400,0.4292655055789894,0.05753713432849811,0.03350653416517611,1.717191460174875,0.08359136011601051,0.05894742794740797,1.4180662842590774,0.11832376364919106,0.08580941804999134,1.3789134845344986,0.15603095773014297,0.12493267767677227,1.2489203035720458,0.1969790500115547,0.1709782210511262,1.152070999455853,0.24006703156141387,0.22380601858663463,1.0726567278104036,ok
sub-002S4229,400,0.48987612353926463,0.09656667286176622,0.04212966411558263,2.292130138916745,0.12199987034382512,0.057275160468654794,2.130065971802776,0.14899140707903746,0.08483466977395349,1.7562561093952866,0.1724393894718911,0.11878914985862396,1.451642592586264,0.209533321854544,0.16233753240855292,1.2907262956739667,0.2618658919365741,0.21058599381162804,1.2435104880280718,ok
sub-002S4654,400,0.4511974696683631,0.054743741640167216,0.041403056373470346,1.322214986892734,0.09127981769400247,0.06008415726357628,1.519199433780481,0.12208960042750813,0.08839294785539323,1.3812142641428937,0.15071944579033733,0.12358861691054919,1.2195253054690696,0.19471686943132,0.1686864727416757,1.1543122946764492,0.24098743499859543,0.22786941861690263,1.057568130297234,ok
sub-003S1122,400,0.46938218690807687,0.07615065801284733,0.033376821498739356,2.2815431366262224,0.10544226259113294,0.057324788568197914,1.839383366685964,0.13437013061435574,0.08567266722718403,1.5684130652549586,0.17053814362079012,0.1215577505700757,1.4029392845870257,0.2178588401851215,0.1692709346325289,1.2870422241010975,0.2720222787597443,0.22787284072883035,1.193745941331604,ok
sub-006S0498,400,0.5789635061660212,0.08695130503026399,0.03979435233397517,2.185016212866661,0.11912098117123329,0.05899824618494996,2.0190596987884737,0.1556967676845331,0.08914992915364627,1.7464598027464058,0.19637534676869775,0.1270537903974317,1.5456079362482942,0.23347881152545058,0.17076731091243164,1.3672336366834106,0.29597746487519366,0.22491108129160056,1.3159754653949418,ok
sub-006S0731,400,0.4937543513203697,0.08908766174253682,0.034329477347923125,2.595077718185141,0.09154255848147372,0.053899667948779914,1.6983881713049755,0.12492331226664131,0.08229711611583192,1.5179549194751087,0.1628696628432188,0.11190820877688752,1.4553862010957,0.207588255866068,0.15651654786085945,1.3263022900978523,0.25634430783665985,0.21030097737808742,1.2189401639146635,ok
sub-011S4893,400,0.4837305844163001,0.07073035704859688,0.0350727091106172,2.01667789122071,0.11131203971692204,0.05693670387838538,1.9550137632603444,0.13408456808270955,0.08547745587647712,1.5686541756281824,0.18047160921034042,0.11924951864053049,1.5133948653860796,0.22260796967095947,0.1632568280999773,1.3635446202264567,0.276420276570918,0.2170680883812713,1.2734265945411423,ok
sub-013S4268,400,0.5500135172484769,0.10857673055084395,0.022880941175001158,4.7452912762815345,0.14369571647261198,0.04482711424313643,3.2055535784263323,0.16081062745451227,0.0716109213743504,2.2456159531011344,0.18757685454941087,0.10824564689418889,1.7328812745030657,0.22741755088086282,0.154500667827115,1.4719518956082522,0.2795479823214849,0.2112211800655718,1.3234846156749132,ok
sub-018S2180,400,0.603742497479493,0.08634163354173223,0.0297417063131189,2.903049093173495,0.1161713770691999,0.05854026008338205,1.9844697803482723,0.14410413470806632,0.08663246687645575,1.6633964136513553,0.18593296059774297,0.12189299991732816,1.5253784936284185,0.2366141238279509,0.1687514209424224,1.4021459642030696,0.29541995305439483,0.2244259345534474,1.3163360715962178,ok
sub-018S4313,400,0.5629569445181208,0.06426929588467441,0.03800835232262782,1.6909255981194544,0.08631664283508829,0.06017615645918113,1.4343994019232327,0.12293031680311828,0.08685546678631338,1.4153434591003724,0.15446203843952372,0.12386364231117959,1.2470329110092897,0.19874166764501622,0.16975715792163718,1.1707410166277572,0.2481366976558985,0.22547691380860094,1.1004971350039525,ok
