metric,CN_n,CN_median,CN_q25,CN_q75,MCI_n,MCI_median,MCI_q25,MCI_q75,MannWhitney_U,p_value,cliffs_delta
E_rest_to_demand,25,0.0752317072384768,0.0589170707742282,0.104521755038534,24,0.063686516388074,0.0432242627581652,0.08950273431775,360.0,0.2340463920462174,0.2
E_demand_to_rest,25,0.1113713760876078,0.0872641237409421,0.1532996691962498,24,0.099144206585238,0.0650406632411558,0.1241168511776154,367.0,0.1835182713005615,0.2233333333333333
E_asymmetry,25,-0.0330367155760208,-0.0538863179601273,-0.015950850319947,24,-0.0316785263005578,-0.0530389291843799,-0.0086870077713037,273.0,0.5961119307897529,-0.09
teleport_ratio,25,9.5762457877566,8.349001660355158,13.252327456384412,24,13.112749746884784,9.765460960553586,16.542202786139107,235.0,0.1970506580994957,-0.2166666666666666
avg_ctrl_mean,25,5.172570845645836,4.809409138166815,6.481586575017396,24,6.209606923810883,5.003449176293838,6.896040726802642,238.0,0.2186971048513838,-0.2066666666666666
mod_ctrl_mean,25,0.791167459763763,0.7870033701493907,0.8104761927576002,24,0.7953206967321593,0.7857504532369811,0.8113364783660363,284.0,0.7565609563559614,-0.0533333333333333
