metric,before_CN_median,before_MCI_median,before_p,before_delta,after_CN_median,after_MCI_median,after_p,after_delta,p_improved
E_rest_to_demand,0.0682012218395665,0.0545585103772334,0.2669990264854943,0.1866666666666666,0.066160598634005,0.0614890847340149,0.4653901846017948,0.1233333333333333,False
E_demand_to_rest,0.111260910193371,0.0883737638719135,0.0614838178589319,0.3133333333333333,0.1049738728696902,0.0801356844926553,0.0801183137276341,0.2933333333333333,False
E_asymmetry,-0.0344768468187992,-0.0233217235454898,0.4179401757432032,-0.1366666666666666,-0.0253989677612525,-0.0317217969876896,0.6818059475446452,-0.07,False
teleport_ratio,13.353524468912086,13.646520025023882,0.4653901846017948,-0.1233333333333333,15.276122732737464,15.443440891834848,0.6965365469280352,-0.0666666666666666,False
avg_ctrl_mean,6.544160491648655,8.033276190606887,0.1835182713005615,-0.2233333333333333,6.88570077990695,7.754832454875384,0.121141516004118,-0.26,True
mod_ctrl_mean,0.7653723922562443,0.7694428885304939,0.6818059475446452,-0.07,0.7643681026106133,0.7695551562727131,0.7263386976487618,-0.06,False
