metric,kruskal_H,p_value,eta2,significant
E_rest_to_demand,13.241666666666674,0.0013323202160269,0.2443840579710146,True
E_demand_to_rest,9.716666666666669,0.0077634121348323,0.1677536231884058,True
E_asymmetry,0.3616666666666503,0.8345744428456029,-0.0356159420289858,False
teleport_ratio,10.875136054421771,0.0043500496193003,0.1929377403135168,True
avg_ctrl_mean,16.57551020408161,0.0002515785975744,0.316858917480035,True
mod_ctrl_mean,2.689829931972781,0.2605618635390193,0.0149963028689735,False
