metric,Healthy_n,Healthy_median,TLE_n,TLE_median,MannWhitney_U,p_value,cliffs_delta
E_rest_to_demand,34,0.0023646944279094,28,0.002600031980252,390.0,0.22651132106954097,-0.18067226890756302
E_demand_to_rest,34,0.00238372024348335,28,0.0026418876295465,388.0,0.21583309506838333,-0.18487394957983194
E_asymmetry,34,-2.9516009538769995e-05,28,-3.0664478904535294e-05,426.0,0.4838175461139893,-0.10504201680672269
teleport_ratio,34,66.75314365259563,28,63.767632167837625,503.0,0.7077782962773983,0.05672268907563025
avg_ctrl_mean,34,10.341897529237624,28,9.569891085081743,528.0,0.46632856260524,0.1092436974789916
mod_ctrl_mean,34,0.7611738147174826,28,0.7631976527765656,484.0,0.9155131375970287,0.01680672268907563
