test,n,correct,accuracy,ci_low,ci_high,p_value,rho
primary_MTL_classification,28,13.0,0.4642857142857143,0.2751085602965855,0.6613009238854005,0.8505540192127228,
secondary_temporal_classification,28,19.0,0.6785714285714286,0.47648359329013973,0.841223962113847,0.08715855330228806,
hippocampal_convergent_validity_all,58,,,,,0.052225761904793014,-0.25620597373035164
