subject_id,w_EE,stability_margin,rho_A,T,target_scale,dir_seed,energy,rel_reachability_error
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,5,0.005,0,0.06050365838324081,0.024231298406908068
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,5,0.005,1,0.060770062628379216,0.02134168434901923
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,5,0.005,2,0.06173214232614821,0.015409646031842432
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,5,0.01,0,0.22988775528786057,0.018227896931997462
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,5,0.01,1,0.23798283675548937,0.01719403488551336
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,5,0.01,2,0.24290511957149413,0.018316284196556887
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,5,0.02,0,0.9643339367068016,0.03193882576413635
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,5,0.02,1,0.9623246855056637,0.032619998454642495
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,5,0.02,2,0.9615436305067785,0.030876001734057752
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,5,0.05,0,6.1524605851325465,0.07304040836406957
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,5,0.05,1,6.084415355643119,0.07323784118992584
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,5,0.05,2,5.968711063514127,0.07447650953735291
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,5,0.1,0,24.423277402332612,0.15301511506086776
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,5,0.1,1,24.220118205475146,0.14957269642032053
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,5,0.1,2,23.80228386493604,0.148191886837395
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,20,0.005,0,0.02962995677749459,0.006453641757273971
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,20,0.005,1,0.02920105387492323,0.024775523223959102
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,20,0.005,2,0.029795912513208313,0.017080327943063543
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,20,0.01,0,0.11859821651873408,0.010578022253415196
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,20,0.01,1,0.11791168334788475,0.05084898177838465
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,20,0.01,2,0.11874425150610875,0.00879469524503515
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,20,0.02,0,0.4714605569369151,0.029650779188430156
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,20,0.02,1,0.4668712207037521,0.024763443982265296
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,20,0.02,2,0.4659681232821585,0.016578915286420613
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,20,0.05,0,3.00170958883732,0.03571895684909815
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,20,0.05,1,3.005219056072014,0.040476384812420066
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,20,0.05,2,2.9243393474109247,0.03617488957840686
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,20,0.1,0,12.145652638028785,0.07216662161900111
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,20,0.1,1,11.874182754313003,0.06822830397712024
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,20,0.1,2,11.898698997887992,0.0709393721401208
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,50,0.005,0,0.02863244899635627,0.04280049162357978
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,50,0.005,1,0.028405273067182494,0.032619860252950314
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,50,0.005,2,0.027801639720199882,0.01958083805016337
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,50,0.01,0,0.11461463990416125,0.018609512555047523
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,50,0.01,1,0.11422418369373749,0.03845738818853383
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,50,0.01,2,0.1098441334868207,0.013167126995808258
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,50,0.02,0,0.4526952517113639,0.017927168323835566
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,50,0.02,1,0.4414553458656104,0.040889614762353324
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,50,0.02,2,0.4550482158361236,0.022705198730442938
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,50,0.05,0,2.8473175385204494,0.03292095946302189
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,50,0.05,1,2.852261117539889,0.03995927341907015
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,50,0.05,2,2.8948960959469123,0.033576658173053026
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,50,0.1,0,11.07666948089999,0.07137779046155472
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,50,0.1,1,10.92945382760223,0.06742097740679188
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,50,0.1,2,11.098888775914261,0.06483821418026603
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,100,0.005,0,0.027912688093539882,0.018354126163684658
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,100,0.005,1,0.028324127510731892,0.039884121890699946
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,100,0.005,2,0.027462163909339636,0.01879108460528657
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,100,0.01,0,0.11003926137137185,0.019573793168011923
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,100,0.01,1,0.11253042174858469,0.00929688956399732
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,100,0.01,2,0.11325996550206242,0.012485321978244658
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,100,0.02,0,0.4379045923573452,0.03836476101996354
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,100,0.02,1,0.4397081962827524,0.02139924667827835
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,100,0.02,2,0.44567298986750414,0.013127396115187148
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,100,0.05,0,2.8050045558631256,0.03426262517478206
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,100,0.05,1,2.812513215095424,0.04577951055091093
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,100,0.05,2,2.8187075430280024,0.04079622512509825
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,100,0.1,0,11.069569124435729,0.06436159752946034
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,100,0.1,1,11.04546049300705,0.06198975998814948
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,100,0.1,2,11.044876539500041,0.066285936317472
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,200,0.005,0,0.0278532638960729,0.01132748088298044
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,200,0.005,1,0.028594185875646588,0.0062873336443142
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,200,0.005,2,0.0274881849798203,0.004279249389687616
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,200,0.01,0,0.11055151698124871,0.01672214865326617
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,200,0.01,1,0.11504200098587686,0.02506363598778203
sub-002S0413,3.0,0.051161262193649706,0.9027383495784258,200,0.01,2,0.11239140616006991,0.019903431634876373
