n_boot,N,n_connections,spearman_rho_strength_vs_raw_std,p_value_raw_std,direction_matches_frassle_stephan_raw_std,spearman_rho_strength_vs_coefficient_of_variation,p_value_cv,direction_matches_frassle_stephan_cv,subject_id
200,400,159600,0.12481562962571671,0.0,False,-0.9791929979160156,0.0,True,sub-002S0413
200,400,159600,0.10223759942946989,0.0,False,-0.9744936676995731,0.0,True,sub-002S4229
200,400,159600,0.08278879045876113,1.0735304830327669e-240,False,-0.9783604140103248,0.0,True,sub-002S4654
200,400,159600,0.11026592918803436,0.0,False,-0.9759161720927343,0.0,True,sub-003S1122
200,400,159600,0.08360101081769537,2.0431992679137537e-245,False,-0.981074679914671,0.0,True,sub-006S0498
